Movie Names,Emotions
The Road,Sadness
Call Me By Your Name,Sadness
Up,Sadness
The Way We Were,Sadness
Dear Zachery: A Letter to a San About His Father,Sadness
Roma,Sadness
Lion,Sadness
One Day,Sadness
Eternal Sunshine of the Spotless Mind,Sadness
If Beale Street Could Talk,Sadness
Marley & Me,Sadness
Pieces of a Woman,Sadness
Life Is Beautiful,Sadness
Coco,Happiness
Little Miss Sunshine ,Happiness
The Princess Bride,Happiness
The Sound of Music,Happiness
Good will Hunting,Happiness
Raging Bull,Anger
Oldboy,Anger
Nil By Mouth,Anger
Romper Stomper,Anger
JoJoâ€™s Bizarre Adventure,Confusion
The Truman Show,Confusion
Inception,Confusion
Star Wars: The Empire Strikes Back,Surprise
Thriller,Surprise
Parasite,Surprise
Squid Games,Surprise